m [g],r [cm],T [K],P [dyne/cm^2],l [erg/s],ρ [g/cm^3],κ [cm^2/g],ε [erg/g/s],∇_ad,∇_rad,∇,shell type
4.3137108435855845e+32,11440568761.678444,14393590.86310944,1.1189467235651595e+17,1.221595755527798e+34,57.48526537279302,1.0630010603524858,12.223658441286961,0.39999977583773555,0.30939894828104825,0.30939894828104825,radiative
4.373623494186796e+32,11503742254.728174,14361788.733519636,1.1109670344407613e+17,1.2288651623951225e+34,57.20179197670527,1.067215502711903,12.043592024935377,0.39999977659369085,0.30871508932126435,0.30871508932126435,radiative
4.4335361447880075e+32,11566537400.478613,14330159.628831716,1.1030525226375093e+17,1.2360276943450375e+34,56.91973375826523,1.0714277572766833,11.866872622454546,0.399999777337673,0.3080411793197237,0.3080411793197237,radiative
4.493448795389219e+32,11628964193.127092,14298699.785960184,1.0952021621810782e+17,1.2430853270924955e+34,56.6390722687107,1.0756381394025947,11.693402264655884,0.3999997780699682,0.30737694755580197,0.30737694755580197,radiative
4.55336144599043e+32,11691032280.52111,14267405.563469471,1.0874149574442203e+17,1.2500399789616348e+34,56.35978958953873,1.079846956167531,11.523087296801526,0.39999977879085286,0.30672213444179214,0.30672213444179214,radiative
4.613274096591641e+32,11752750980.951008,14236273.436005952,1.0796899418460442e+17,1.2568935133963911e+34,56.08186831051057,1.0840545067872793,11.355838133476446,0.39999977950059273,0.3060764909770197,0.3060764909770197,radiative
4.6731867471928526e+32,11814129298.927753,14205299.989047505,1.0720261766234722e+17,1.2636477413292716e+34,55.80529150886229,1.088261083008442,11.19156903002003,0.3999997801994444,0.3054397782345951,0.3054397782345951,radiative
4.733099397794064e+32,11875175940.01947,14174481.913948791,1.064422749669989e+17,1.2703044234178241e+34,55.530042729638915,1.092466969480035,11.030197869230081,0.3999997808876552,0.3048117668785056,0.3048117668785056,radiative
4.7930120483952756e+32,11935899324.813995,14143816.003262157,1.0568787744371822e+17,1.276865272157597e+34,55.25610596707759,1.0966724441052804,10.871645962165884,0.39999978156546406,0.30419223670896867,0.30419223670896867,radiative
4.852924698996487e+32,11996307602.069277,14113299.146315677,1.0493933888949283e+17,1.2833319538797047e+34,54.98346564697019,1.1008777783748875,10.715837861978535,0.3999997822331014,0.30358097623410096,0.30358097623410096,radiative
4.9128373495976985e+32,12056408661.10828,14082928.32503126,1.0419657545464032e+17,1.2897060906405134e+34,54.71210660994201,1.1050832376831101,10.562701189788637,0.3999997828907899,0.30297778226614486,0.30297778226614486,radiative
4.97275000019891e+32,12116210143.510534,14052700.60996711,1.0345950554943834e+17,1.2959892620103868e+34,54.442014095587474,1.109289081627677,10.412166471715212,0.39999978353874494,0.3023824595405937,0.3023824595405937,radiative
5.0326626508001214e+32,12175719454.148197,14022613.156570012,1.0272804975555773e+17,1.3021830067679244e+34,54.173173727408475,1.113495564294692,10.264166986234002,0.39999978417717436,0.3017948203567179,0.3017948203567179,radiative
5.092575301401332e+32,12234943771.61084,13992663.201623963,1.0200213074199678e+17,1.3082888245056557e+34,53.905571498505516,1.1177029345294587,10.118638621112998,0.39999978480627957,0.3012146842380889,0.3012146842380889,radiative
